cut,flute_1,flute_2,flute_3,
1,62.78864802,9.896640679,14.62090844,29.10206571
2,64.13604296,19.79328136,29.24181689,37.72371374
3,65.36527295,29.68992204,43.86272533,46.30597344
4,66.4868801,39.58656272,58.48363377,54.85235886
5,67.51080822,43.01999443,59.34575921,56.62552062
6,68.44642494,46.45342614,60.20788466,58.36924525
7,69.30254323,49.88685786,61.0700101,60.0864704
8,70.08744241,53.32028957,61.93213554,61.77995584
9,70.8088887,58.52379832,62.6414184,63.99136847
10,71.47415519,63.72730707,63.35070125,66.1840545
11,72.09004135,68.93081581,64.05998411,68.36028042
12,72.66289207,74.13432456,64.76926696,70.5221612
13,73.19861618,75.21507024,65.86080262,71.42482968
14,73.70270453,76.29581591,66.95233827,72.3169529
15,74.18024756,77.37656158,68.04387392,73.20022769
16,74.63595243,78.45730726,69.13540957,74.07622309
17,75.07415974,79.53805293,70.22694522,74.94638596
18,75.4988597,80.6187986,71.31848087,75.81204639
19,75.91370798,81.69954428,72.41001653,76.67442293
20,76.32204104,82.78028995,73.50155218,77.53462772
21,76.72689103,83.61749165,73.83660575,78.06032948
22,77.13100039,84.45469334,74.17165933,78.58578435
23,77.53683587,85.29189504,74.5067129,79.1118146
24,77.94660226,86.12909673,74.84176648,79.63915516
25,78.36225568,86.96629843,75.17682005,80.16845805
26,78.78551648,87.80350012,75.51187363,80.70029674
27,79.21788179,88.64070181,75.8469272,81.23517027
28,79.66063762,89.47790351,76.18198078,81.7735073
29,80.11487062,90.3151052,76.51703435,82.31567006
30,80.58147952,91.1523069,76.85208793,82.86195812
31,81.06118616,91.98950859,77.1871415,83.41261208
32,81.55454615,92.82671029,77.52219508,83.96781717
33,82.06195924,93.25202035,77.98222132,84.43206697
34,82.58367929,93.67733042,78.44224757,84.90108576
35,83.11982397,94.10264048,78.90227381,85.37491275
36,83.67038407,94.52795055,79.36230005,85.85354489
37,84.23523251,94.95326061,79.8223263,86.33693981
38,84.81413304,95.37857068,80.28235254,86.82501875
39,85.40674866,95.80388075,80.74237878,87.3176694
40,86.01264963,96.22919081,81.20240503,87.81474849
41,86.63132132,96.65450088,81.66243127,88.31608449
42,87.26217167,97.07981094,82.12245751,88.82148004
43,87.90453839,97.50512101,82.58248376,89.33071439
44,88.55769588,97.93043107,83.04251,89.84354565
45,89.22086191,98.35574114,83.50253624,90.3597131
46,89.89320394,98.7810512,83.96256249,90.87893921
47,90.57384526,99.20636127,84.42258873,91.40093175
48,91.26187086,99.63167133,84.88261497,91.92538572
49,91.956333,100.0569814,85.34264122,92.45198521
