cut,flute_1,flute_2,flute_3,
1,31.41635516,19.48369225,21.74806264,24.21603668
2,34.8927704,23.473047,24.92595987,27.76392576
3,38.10284657,27.17286849,27.89865916,31.05812474
4,41.06102301,30.59930868,30.67784802,34.11272657
5,43.78119133,33.76786983,33.27472071,36.94126062
6,46.27671037,36.69342355,35.6999933,39.55670907
7,48.56042098,39.39022937,37.96391852,41.97152296
8,50.64466037,41.87195302,40.07630017,44.19763785
9,52.54127629,44.15168423,42.04650728,46.24648927
10,54.26164088,46.24195416,43.88348786,48.12902763
11,55.81666418,48.15475251,45.59578247,49.85573305
12,57.21680745,49.90154413,47.19153732,51.43662963
13,58.47209617,51.49328539,48.67851721,52.88129959
14,59.59213275,52.9404401,50.06411807,54.19889697
15,60.58610902,54.25299511,51.35537927,55.39816113
16,61.46281844,55.44047554,52.55899557,56.48742985
17,62.23066801,56.51195964,53.68132888,57.47465218
18,62.89769001,57.47609342,54.72841962,58.36740102
19,63.47155339,58.34110474,55.70599795,59.17288536
20,63.959575,59.1148173,56.61949457,59.89796229
21,64.36873051,59.80466414,57.4740514,60.54914868
22,64.70566514,60.41770086,58.27453188,61.13263263
23,64.9767041,60.96061858,59.02553109,61.65428459
24,65.1878629,61.43975654,59.73138559,62.11966834
25,65.34485725,61.86111439,60.39618301,62.53405155
26,65.45311297,62.23036422,61.02377139,62.90241619
27,65.51777545,62.55286224,61.6177683,63.22946866
28,65.54371906,62.83366026,62.18156971,63.51964968
29,65.54371906,63.07751676,62.71835863,63.77986482
30,65.54371906,63.28890784,63.23111352,64.02124681
31,65.54371906,63.47203771,63.72261651,64.24612443
32,65.54371906,63.6308491,64.19546132,64.45667649
33,65.54371906,63.76903326,64.65206107,64.6549378
34,65.54371906,63.89003975,65.09465581,64.84280487
35,65.54371906,63.99708603,65.52531985,65.02204165
36,65.54371906,64.09316671,65.9459689,65.19428489
37,65.54371906,64.18106257,66.35836702,65.36104955
38,65.54371906,64.26334943,66.76413333,65.52373394
39,65.54371906,64.34240665,67.16474862,65.68362478
40,65.54371906,64.42042549,67.56156165,65.84190207
41,65.54371906,64.49941721,67.95579535,65.99964387
42,65.54371906,64.58122094,68.34855283,66.15783094
43,65.54371906,64.66751133,68.74082317,66.31735119
